所有權人;管理者;行政區;段小段;地號;面積;分母;分子;持分面積;使用分區
中華民國;財政部國有財產署;中正區;永昌段二小段;00710000;15;1;1;15;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;00860000;0.81;1;1;0.81;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;01020001;3;1;1;3;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;01080000;27;1;1;27;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;01130000;43;1;1;43;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;01130004;9;1;1;9;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;01400000;24;1;1;24;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;01590000;26;1;1;26;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;01590001;5;1;1;5;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;01950000;6;1;1;6;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;02130001;125;1;1;125;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;02140000;13;1;1;13;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;02150000;15;1;1;15;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;02300000;32;1;1;32;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;02310000;14;1;1;14;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03620000;16;1;1;16;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03620001;43;1;1;43;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03650000;14;1;1;14;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03650003;0.04;1;1;0.04;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03660000;2;1;1;2;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03660001;6;1;1;6;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03670001;19;1;1;19;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03680000;5;1;1;5;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690000;75;1;1;75;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690004;1;1;1;1;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690005;24;1;1;24;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690006;28;1;1;28;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690007;13;1;1;13;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690008;8;1;1;8;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690009;14;1;1;14;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690010;9;1;1;9;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690011;12;1;1;12;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690012;20;1;1;20;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690013;33;1;1;33;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690014;40;1;1;40;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690015;12;1;1;12;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690016;17;1;1;17;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690017;17;1;1;17;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690018;13;1;1;13;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690019;20;1;1;20;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690020;31;1;1;31;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03690021;4;1;1;4;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03700000;9;1;1;9;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03700002;16;1;1;16;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03700003;2;1;1;2;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;03710000;19;1;1;19;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04040000;68;1;1;68;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04050001;3;1;1;3;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04190000;2;1;1;2;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04410000;30;1;1;30;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04410005;85;1;1;85;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04460002;4;1;1;4;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04680000;238;1;1;238;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04680001;79;1;1;79;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04680002;57;1;1;57;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04680003;23;1;1;23;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04680009;34;1;1;34;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04680011;29;1;1;29;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04680013;14;1;1;14;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04680016;9;1;1;9;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04680017;10;1;1;10;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04680019;4;1;1;4;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04680020;17;1;1;17;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04700000;8;1;1;8;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04700001;1;1;1;1;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04700002;3;1;1;3;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04700005;5;1;1;5;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04700006;6;1;1;6;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04700007;3;1;1;3;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04700009;4;1;1;4;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04700012;1;1;1;1;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04700013;2;1;1;2;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;04720000;31;1;1;31;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05010000;7;1;1;7;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05010001;10;1;1;10;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05010002;9;1;1;9;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05010004;5;1;1;5;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05010006;14;1;1;14;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05010008;6;1;1;6;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05010010;1;1;1;1;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05010012;14;1;1;14;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05010013;3;1;1;3;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05010015;5;1;1;5;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05010016;7;1;1;7;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05010017;12;1;1;12;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05010018;1;1;1;1;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05020000;3;1;1;3;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05020001;15;1;1;15;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05020002;7;1;1;7;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05020004;2;1;1;2;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05020006;4;1;1;4;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05020007;5;1;1;5;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05020008;1;1;1;1;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05020009;1;1;1;1;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05020010;3;1;1;3;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05040000;1;1;1;1;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05040004;5;1;1;5;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05040005;1;1;1;1;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05040006;1;1;1;1;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060000;87;1;1;87;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060003;61;1;1;61;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060004;45;1;1;45;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060007;42;1;1;42;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060008;29;1;1;29;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060010;10;1;1;10;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060011;30;1;1;30;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060012;44;1;1;44;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060013;22;1;1;22;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060014;5;1;1;5;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060016;24;1;1;24;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060017;13;1;1;13;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060018;1;1;1;1;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060020;24;1;1;24;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060021;24;1;1;24;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060022;6;1;1;6;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060023;11;1;1;11;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060024;42;1;1;42;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060025;24;1;1;24;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060026;14;1;1;14;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060029;21;1;1;21;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060030;17;1;1;17;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060032;31;1;1;31;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060033;35;1;1;35;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060034;34;1;1;34;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060035;5;1;1;5;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060036;26;1;1;26;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060037;4;1;1;4;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060038;30;1;1;30;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060039;7;1;1;7;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060040;28;1;1;28;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060041;1;1;1;1;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060042;17;1;1;17;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060043;23;1;1;23;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060044;25;1;1;25;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060045;25;1;1;25;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060046;1;1;1;1;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060047;1;1;1;1;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060049;7;1;1;7;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060050;1;1;1;1;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060051;14;1;1;14;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060053;58;1;1;58;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060054;20;1;1;20;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060055;52;1;1;52;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060056;20;1;1;20;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060058;5;1;1;5;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05060059;2;1;1;2;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05320000;21;1;1;21;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05390000;33;1;1;33;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05390003;7;1;1;7;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05390004;145;1;1;145;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05390006;1;1;1;1;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05420000;1;1;1;1;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05520000;26;1;1;26;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05530000;19;1;1;19;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05540000;26;1;1;26;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05570000;19;1;1;19;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05580000;25;1;1;25;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05590000;57;1;1;57;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05640000;18;1;1;18;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05660002;1;1;1;1;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05680000;107;1;1;107;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05680002;1;1;1;1;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05680003;2;1;1;2;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05680004;5;1;1;5;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05680005;7;1;1;7;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05680010;11;1;1;11;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05680011;14;1;1;14;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05680014;1;1;1;1;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05680015;8;1;1;8;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05690000;4;1;1;4;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05700000;131.65;1;1;131.65;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05700002;21;1;1;21;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05700003;16;1;1;16;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05700005;59;1;1;59;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;05700006;0.35;1;1;0.35;第三種住宅區
